month_start_date,jurisdiction,filings_count,percent_of_historical_average
5/1/2020,Robeson,76,42.82
6/1/2020,Robeson,65,41.07
7/1/2020,Robeson,122,66.23
8/1/2020,Robeson,211,126.05
9/1/2020,Robeson,131,87.57
10/1/2020,Robeson,121,65.12
11/1/2020,Robeson,79,44.18
12/1/2020,Robeson,31,25.62
1/1/2021,Robeson,104,50.24
2/1/2021,Robeson,49,37.05
3/1/2021,Robeson,117,84.63
4/1/2021,Robeson,85,64.76
5/1/2021,Robeson,92,51.83
6/1/2021,Robeson,120,75.83
7/1/2021,Robeson,120,65.15
8/1/2021,Robeson,107,63.92
9/1/2021,Robeson,153,102.27
10/1/2021,Robeson,121,65.12
11/1/2021,Robeson,73,40.83
12/1/2021,Robeson,77,63.64
1/1/2022,Robeson,112,54.11
2/1/2022,Robeson,131,99.05
3/1/2022,Robeson,217,156.96
4/1/2022,Robeson,216,164.57
5/1/2022,Robeson,278,156.62
6/1/2022,Robeson,218,137.76
7/1/2022,Robeson,296,160.69
8/1/2022,Robeson,303,181
9/1/2022,Robeson,242,161.76
10/1/2022,Robeson,232,124.87
11/1/2022,Robeson,212,118.57
12/1/2022,Robeson,148,122.31
1/1/2023,Robeson,225,108.7
2/1/2023,Robeson,200,151.23
3/1/2023,Robeson,172,124.41
4/1/2023,Robeson,163,124.19
5/1/2023,Robeson,173,97.46
6/1/2023,Robeson,216,136.49
1/1/2020,Rowan,185,95.85
2/1/2020,Rowan,155,108.2
3/1/2020,Rowan,69,56.33
4/1/2020,Rowan,18,13.28
5/1/2020,Rowan,44,27.33
6/1/2020,Rowan,43,25.18
7/1/2020,Rowan,133,73.81
8/1/2020,Rowan,112,65.73
9/1/2020,Rowan,123,71.18
10/1/2020,Rowan,108,65.77
11/1/2020,Rowan,62,44.73
12/1/2020,Rowan,32,22.1
1/1/2021,Rowan,38,19.69
2/1/2021,Rowan,50,34.9
3/1/2021,Rowan,124,101.22
4/1/2021,Rowan,59,43.54
5/1/2021,Rowan,82,50.93
6/1/2021,Rowan,96,56.22
7/1/2021,Rowan,101,56.05
8/1/2021,Rowan,86,50.47
9/1/2021,Rowan,100,57.87
10/1/2021,Rowan,110,66.99
11/1/2021,Rowan,95,68.54
12/1/2021,Rowan,94,64.92
1/1/2022,Rowan,119,61.66
2/1/2022,Rowan,94,65.62
3/1/2022,Rowan,134,109.39
4/1/2022,Rowan,163,120.3
5/1/2022,Rowan,178,110.56
6/1/2022,Rowan,186,108.93
